customerid,last_purchase_date,frequency,monetary,recency,r_score,f_score,m_score,segment
12378.0,2011-08-02 10:34:00,1,4008.62,130,4,4,1,Loyal customers
12379.0,2011-09-19 10:09:00,2,852.24,82,4,3,3,Regular customers
12380.0,2011-11-18 11:27:00,4,2724.81,22,2,2,1,At-risk customers
12381.0,2011-12-05 12:44:00,5,1845.31,5,1,2,2,At-risk customers
12383.0,2011-06-08 08:02:00,5,1850.56,185,5,2,2,New customers
12384.0,2011-11-11 08:39:00,2,585.27,29,2,3,3,Regular customers
12386.0,2011-01-06 12:37:00,2,401.9,338,5,3,4,Regular customers
12388.0,2011-11-24 12:30:00,6,2780.66,16,2,1,1,Inactive customers
12390.0,2011-09-21 09:33:00,1,549.84,80,4,4,3,Loyal customers
12391.0,2011-11-18 12:07:00,1,460.89,22,2,4,4,Regular customers
12393.0,2011-09-28 15:41:00,4,1582.6000000000001,72,3,2,2,Inactive customers
12394.0,2011-10-07 08:08:00,2,1272.48,64,3,3,2,Inactive customers
12395.0,2011-11-20 15:21:00,12,3018.63,19,2,1,1,Inactive customers
12397.0,2011-11-04 09:52:00,2,2409.9,36,3,3,1,Inactive customers
12398.0,2011-10-25 10:27:00,1,1635.6599999999999,46,3,4,2,Inactive customers
12399.0,2011-08-12 13:15:00,4,1108.65,119,4,2,2,New customers
12401.0,2011-02-09 13:50:00,1,84.3,303,5,4,5,High-value customers
12402.0,2011-01-20 13:49:00,1,225.6,323,5,4,5,High-value customers
12403.0,2011-10-21 10:51:00,1,427.7,50,3,4,4,Regular customers
12405.0,2011-07-14 08:52:00,1,1710.39,149,4,4,2,Loyal customers
12406.0,2011-11-17 19:22:00,2,3415.3,22,2,3,1,At-risk customers
12407.0,2011-10-21 10:11:00,5,1708.1200000000001,50,3,2,2,Inactive customers
12408.0,2011-11-07 12:27:00,5,2888.55,33,2,2,1,At-risk customers
12409.0,2011-09-22 10:38:00,3,11072.67,79,4,2,1,New customers
12410.0,2011-02-04 10:39:00,2,693.3299999999999,309,5,3,3,Regular customers
12412.0,2011-09-26 10:16:00,3,1226.88,75,4,2,2,New customers
12413.0,2011-10-04 09:00:00,3,758.1,67,3,2,3,Inactive customers
12414.0,2011-05-06 14:51:00,3,562.41,217,5,2,3,New customers
12415.0,2011-11-15 14:22:00,21,124914.53,24,2,1,1,Inactive customers
12417.0,2011-12-06 14:52:00,9,3649.1,3,1,1,1,Inactive customers
12418.0,2011-08-19 11:08:00,1,668.58,113,4,4,3,Loyal customers
12420.0,2011-10-07 08:55:00,1,600.39,64,3,4,3,Regular customers
12421.0,2011-11-24 09:07:00,4,807.04,16,2,2,3,At-risk customers
12422.0,2011-09-05 09:48:00,3,803.5600000000001,96,4,2,3,New customers
12423.0,2011-12-09 10:10:00,8,1859.31,1,1,1,2,Inactive customers
12424.0,2011-06-30 12:06:00,2,1760.96,163,4,3,2,Inactive customers
12425.0,2011-09-22 17:31:00,1,777.2,78,4,4,3,Loyal customers
12426.0,2011-05-29 12:26:00,1,582.73,195,5,4,3,Loyal customers
12427.0,2011-11-18 08:56:00,3,825.8,22,2,2,3,At-risk customers
12428.0,2011-11-14 08:22:00,9,7956.46,26,2,1,1,Inactive customers
12429.0,2011-11-30 17:22:00,4,3750.4,9,1,2,1,At-risk customers
12430.0,2011-10-27 15:09:00,1,256.4,43,3,4,4,Regular customers
12431.0,2011-11-04 11:55:00,15,6487.45,36,3,1,1,Inactive customers
12432.0,2011-10-28 11:43:00,5,5059.32,43,3,2,1,Inactive customers
12433.0,2011-12-09 10:02:00,7,13375.87,1,1,1,1,Inactive customers
12434.0,2011-09-16 12:38:00,2,806.14,85,4,3,3,Regular customers
12435.0,2011-09-21 09:06:00,2,7829.89,80,4,3,1,Inactive customers
12436.0,2011-09-01 12:09:00,1,509.01,100,4,4,3,Loyal customers
12437.0,2011-12-08 11:35:00,18,4951.41,2,1,1,1,Inactive customers
12438.0,2011-11-25 13:28:00,2,2906.85,14,2,3,1,At-risk customers
12441.0,2010-12-08 10:45:00,1,173.55,367,5,4,5,High-value customers
12442.0,2011-12-06 14:22:00,1,172.06,3,1,4,5,Regular customers
12444.0,2011-11-18 13:23:00,5,5005.46,21,2,2,1,At-risk customers
12445.0,2011-11-17 18:43:00,1,133.4,22,2,4,5,Regular customers
12446.0,2011-10-13 12:50:00,1,1002.3100000000001,58,3,4,2,Inactive customers
12447.0,2011-04-10 13:25:00,1,476.49,243,5,4,4,High-value customers
12448.0,2011-10-26 13:46:00,1,449.45,44,3,4,4,Regular customers
12449.0,2011-11-17 13:46:00,4,4067.29,22,2,2,1,At-risk customers
12450.0,2011-07-06 14:41:00,2,197.88,156,4,3,5,Regular customers
12451.0,2011-11-29 08:40:00,5,9035.52,11,1,2,1,At-risk customers
12452.0,2011-11-23 10:28:00,2,430.57,17,2,3,4,Regular customers
12453.0,2011-07-28 14:08:00,1,707.09,134,4,4,3,Loyal customers
12454.0,2011-10-14 17:13:00,1,3528.34,56,3,4,1,Inactive customers
12455.0,2011-09-27 15:31:00,6,2466.86,73,4,1,1,New customers
12456.0,2011-10-26 14:41:00,3,3181.04,44,3,2,1,Inactive customers
12457.0,2011-10-04 13:13:00,7,2363.23,66,3,1,1,Inactive customers
12458.0,2011-09-29 15:25:00,2,947.4,71,3,3,2,Inactive customers
12461.0,2011-09-06 16:57:00,2,826.88,94,4,3,3,Regular customers
12462.0,2011-11-21 09:11:00,2,1189.59,19,2,3,2,At-risk customers
12463.0,2011-10-17 13:44:00,4,1344.78,53,3,2,2,Inactive customers
12464.0,2011-11-29 13:33:00,8,1212.05,10,1,1,2,Inactive customers
12465.0,2011-11-22 16:34:00,2,742.1899999999999,17,2,3,3,Regular customers
12468.0,2011-06-05 11:36:00,2,729.5400000000001,188,5,3,3,Regular customers
12471.0,2011-12-07 15:43:00,30,19824.05,2,1,1,1,Inactive customers
12472.0,2011-11-07 14:01:00,7,6572.11,32,2,1,1,Inactive customers
12473.0,2011-11-10 13:46:00,5,3938.5499999999997,29,2,2,1,At-risk customers
12474.0,2011-11-22 14:39:00,18,7375.79,17,2,1,1,Inactive customers
12475.0,2011-10-17 10:10:00,1,723.38,54,3,4,3,Regular customers
12476.0,2011-11-24 12:40:00,11,6816.42,16,2,1,1,Inactive customers
12477.0,2011-11-17 09:51:00,6,13219.74,23,2,1,1,Inactive customers
12478.0,2011-12-06 09:56:00,1,680.99,4,1,4,3,Regular customers
12479.0,2011-11-28 13:26:00,1,527.2,11,1,4,3,Regular customers
12480.0,2011-11-11 14:52:00,4,3281.63,28,2,2,1,At-risk customers
12481.0,2011-11-17 08:29:00,10,5596.32,23,2,1,1,Inactive customers
12483.0,2011-11-22 17:02:00,8,2484.98,17,2,1,1,Inactive customers
12484.0,2011-11-07 11:37:00,6,4541.72,33,2,1,1,Inactive customers
12488.0,2011-11-30 08:50:00,3,1298.66,10,1,2,2,At-risk customers
12489.0,2011-01-07 13:13:00,1,334.93,336,5,4,4,High-value customers
12490.0,2011-12-04 16:07:00,10,5417.93,5,1,1,1,Inactive customers
12491.0,2011-11-01 12:18:00,1,460.40000000000003,39,3,4,4,Regular customers
12492.0,2011-10-07 15:15:00,2,263.21000000000004,63,3,3,4,Regular customers
12493.0,2011-06-27 10:17:00,2,433.74,166,4,3,4,Regular customers
12494.0,2011-11-24 09:34:00,7,1246.1000000000001,16,2,1,2,Inactive customers
12497.0,2011-09-19 12:29:00,1,1043.1,82,4,4,2,Loyal customers
12498.0,2011-11-18 12:53:00,3,403.70000000000005,21,2,2,4,At-risk customers
12500.0,2011-11-16 16:20:00,11,4257.82,23,2,1,1,Inactive customers
12501.0,2011-01-07 12:28:00,1,2169.39,337,5,4,1,Loyal customers
12502.0,2011-09-05 11:52:00,5,3723.87,96,4,2,1,New customers
12504.0,2011-11-21 16:02:00,2,482.04999999999995,18,2,3,4,Regular customers
12506.0,2011-04-21 08:54:00,1,73.5,233,5,4,5,High-value customers
12507.0,2011-07-28 17:09:00,3,1304.81,134,4,2,2,New customers
12508.0,2011-11-13 15:37:00,2,398.27,26,2,3,4,Regular customers
12509.0,2011-02-28 14:45:00,1,176.5,284,5,4,5,High-value customers
12510.0,2011-07-20 10:15:00,2,982.5699999999999,143,4,3,2,Inactive customers
12512.0,2011-10-04 14:55:00,2,138.03,66,3,3,5,Regular customers
12513.0,2011-08-19 10:51:00,1,612.29,113,4,4,3,Loyal customers
12514.0,2011-03-17 16:38:00,1,1017.68,267,5,4,2,Loyal customers
12515.0,2010-12-21 15:43:00,1,383.7,353,5,4,4,High-value customers
12516.0,2011-09-23 09:13:00,2,1312.06,78,4,3,2,Inactive customers
12517.0,2011-11-11 14:04:00,5,2502.84,28,2,2,1,At-risk customers
12518.0,2011-12-09 10:13:00,5,2056.89,1,1,2,2,At-risk customers
12519.0,2011-10-07 09:26:00,1,340.84,64,3,4,4,Regular customers
12520.0,2011-09-21 15:23:00,5,2634.26,79,4,2,1,New customers
12521.0,2011-07-20 10:51:00,1,599.68,143,4,4,3,Loyal customers
12522.0,2011-10-31 15:30:00,2,192.72,39,3,3,5,Regular customers
12523.0,2011-11-20 12:55:00,11,1789.77,19,2,1,2,Inactive customers
12524.0,2011-11-30 15:31:00,8,4485.72,9,1,1,1,Inactive customers
12526.0,2011-12-09 12:09:00,3,1316.66,1,1,2,2,At-risk customers
12527.0,2011-09-19 11:55:00,3,348.71000000000004,82,4,2,4,New customers
12528.0,2011-11-30 14:40:00,6,1933.48,9,1,1,2,Inactive customers
12530.0,2011-10-11 12:34:00,4,1662.28,60,3,2,2,Inactive customers
12531.0,2011-11-25 11:12:00,1,125.22,15,2,4,5,Regular customers
12532.0,2011-11-09 13:47:00,1,349.83000000000004,30,2,4,4,Regular customers
12534.0,2011-08-01 10:26:00,1,1089.18,131,4,4,2,Loyal customers
12535.0,2011-09-09 08:48:00,2,716.35,92,4,3,3,Regular customers
12536.0,2011-10-27 14:20:00,3,12601.830000000002,43,3,2,1,Inactive customers
12538.0,2011-11-10 17:16:00,1,363.95,29,2,4,4,Regular customers
12539.0,2011-11-17 13:30:00,4,5568.35,22,2,2,1,At-risk customers
12540.0,2011-11-20 11:31:00,17,13400.24,20,2,1,1,Inactive customers
12541.0,2011-11-10 10:40:00,3,981.18,30,2,2,2,At-risk customers
12544.0,2011-11-03 16:15:00,1,372.7,36,3,4,4,Regular customers
12545.0,2011-09-25 13:39:00,2,1000.39,75,4,3,2,Inactive customers
12546.0,2011-10-24 12:09:00,2,1161.5,47,3,3,2,Inactive customers
12547.0,2011-05-26 12:38:00,2,207.79999999999998,198,5,3,5,Regular customers
12548.0,2011-06-26 15:35:00,1,95.19999999999999,166,4,4,5,High-value customers
12550.0,2011-09-21 14:35:00,1,964.83,79,4,4,2,Loyal customers
12551.0,2010-12-17 11:23:00,1,168.0,358,5,4,5,High-value customers
12552.0,2011-11-01 10:02:00,2,437.82,39,3,3,4,Regular customers
12553.0,2011-12-01 16:38:00,10,3692.28,8,1,1,1,Inactive customers
12556.0,2011-10-20 13:06:00,2,603.71,50,3,3,3,Regular customers
12557.0,2011-11-23 16:59:00,5,11990.960000000001,16,2,2,1,At-risk customers
12558.0,2011-12-02 10:41:00,1,269.96,8,1,4,4,Regular customers
12559.0,2011-02-02 09:49:00,2,561.71,311,5,3,3,Regular customers
12560.0,2011-12-04 13:54:00,3,2134.01,5,1,2,1,At-risk customers
12561.0,2011-02-10 11:39:00,1,238.85,303,5,4,5,High-value customers
12562.0,2011-12-01 17:20:00,7,3781.7400000000002,8,1,1,1,Inactive customers
12564.0,2011-03-23 14:55:00,1,456.9,261,5,4,4,High-value customers
12565.0,2011-02-24 10:34:00,1,145.92,289,5,4,5,High-value customers
12566.0,2011-09-14 14:30:00,1,351.65,86,4,4,4,High-value customers
12567.0,2011-11-17 11:02:00,10,9401.28,23,2,1,1,Inactive customers
12569.0,2011-12-07 16:24:00,32,4124.69,2,1,1,1,Inactive customers
12571.0,2011-10-31 10:19:00,2,519.61,40,3,3,3,Regular customers
12572.0,2011-12-01 09:20:00,2,1020.42,9,1,3,2,At-risk customers
12573.0,2011-04-26 15:52:00,1,160.54000000000002,227,5,4,5,High-value customers
12574.0,2011-01-28 09:20:00,1,218.45,316,5,4,5,High-value customers
12576.0,2011-11-04 10:11:00,5,1315.83,36,3,2,2,Inactive customers
12577.0,2011-11-04 13:24:00,3,657.8,35,3,2,3,Inactive customers
12578.0,2011-11-18 13:30:00,2,2794.51,21,2,3,1,At-risk customers
12579.0,2011-09-22 17:15:00,1,440.42,78,4,4,4,High-value customers
12580.0,2011-04-07 10:24:00,1,415.7,247,5,4,4,High-value customers
12581.0,2011-10-31 08:56:00,1,197.71,40,3,4,5,Regular customers
12582.0,2011-04-15 08:45:00,2,511.36,239,5,3,3,Regular customers
12583.0,2011-12-07 08:07:00,15,7281.38,3,1,1,1,Inactive customers
12584.0,2011-12-06 09:35:00,9,2338.15,4,1,1,1,Inactive customers
12585.0,2011-04-19 13:39:00,2,2040.1,234,5,3,2,Inactive customers
12586.0,2011-11-22 16:24:00,1,196.94000000000003,17,2,4,5,Regular customers
12587.0,2011-12-02 12:47:00,1,144.0,8,1,4,5,Regular customers
12588.0,2011-10-31 15:01:00,1,214.89999999999998,39,3,4,5,Regular customers
12589.0,2011-11-11 10:19:00,2,646.68,29,2,3,3,Regular customers
12590.0,2011-05-12 14:52:00,2,9864.26,211,5,3,1,Inactive customers
12591.0,2011-01-26 14:35:00,1,452.84999999999997,317,5,4,4,High-value customers
12592.0,2011-09-08 15:04:00,2,437.6,92,4,3,4,Regular customers
12593.0,2011-08-23 12:43:00,3,418.09999999999997,109,4,2,4,New customers
12594.0,2011-11-02 12:20:00,10,3338.2200000000003,38,3,1,1,Inactive customers
12596.0,2011-10-19 13:02:00,2,618.27,51,3,3,3,Regular customers
12597.0,2011-11-20 13:33:00,4,3811.22,19,2,2,1,At-risk customers
12598.0,2011-11-30 12:18:00,8,3023.08,10,1,1,1,Inactive customers
12599.0,2011-11-10 13:34:00,7,1032.58,29,2,1,2,Inactive customers
12600.0,2011-11-11 10:29:00,10,2599.04,29,2,1,1,Inactive customers
12601.0,2011-06-03 10:17:00,5,577.0600000000001,190,5,2,3,New customers
12602.0,2011-10-12 11:22:00,1,153.12,59,3,4,5,Regular customers
12603.0,2011-11-18 10:42:00,1,739.1999999999999,22,2,4,3,Regular customers
12604.0,2011-09-21 14:08:00,2,254.18,79,4,3,4,Regular customers
12607.0,2011-10-10 16:06:00,1,1579.51,60,3,4,2,Inactive customers
12609.0,2011-09-22 16:34:00,3,1126.85,78,4,2,2,New customers
12610.0,2011-11-17 09:34:00,5,2099.54,23,2,2,1,At-risk customers
12611.0,2011-10-18 13:12:00,1,1193.32,52,3,4,2,Inactive customers
12612.0,2011-09-26 15:35:00,1,704.0400000000001,74,4,4,3,Loyal customers
12613.0,2011-10-13 14:59:00,5,3344.38,57,3,2,1,Inactive customers
12614.0,2011-03-07 10:22:00,1,315.6,278,5,4,4,High-value customers
12615.0,2011-12-07 15:02:00,4,2291.19,2,1,2,1,At-risk customers
12616.0,2011-09-05 15:17:00,2,713.3,95,4,3,3,Regular customers
12617.0,2011-11-10 14:39:00,1,355.53,29,2,4,4,Regular customers
12618.0,2011-11-18 11:10:00,1,177.31,22,2,4,5,Regular customers
12619.0,2011-11-23 14:52:00,9,3641.24,16,2,1,1,Inactive customers
12620.0,2011-11-25 10:20:00,3,1339.41,15,2,2,2,At-risk customers
12621.0,2011-12-08 11:25:00,20,13689.67,2,1,1,1,Inactive customers
12622.0,2011-04-21 16:39:00,1,180.1,232,5,4,5,High-value customers
12623.0,2011-03-08 13:50:00,1,305.1,276,5,4,4,High-value customers
12624.0,2011-08-25 15:04:00,2,641.13,106,4,3,3,Regular customers
12625.0,2011-05-12 09:54:00,2,2683.82,212,5,3,1,Inactive customers
12626.0,2011-11-16 16:06:00,9,6620.48,23,2,1,1,Inactive customers
12627.0,2011-11-29 12:07:00,7,4478.53,11,1,1,1,Inactive customers
12628.0,2011-12-05 13:15:00,3,786.46,4,1,2,3,At-risk customers
12630.0,2011-11-30 10:48:00,2,1270.88,10,1,3,2,At-risk customers
12631.0,2011-10-13 13:53:00,1,640.5,57,3,4,3,Regular customers
12633.0,2011-10-12 11:40:00,4,2163.98,59,3,2,1,Inactive customers
12635.0,2011-09-11 11:04:00,2,1689.18,90,4,3,2,Inactive customers
12637.0,2011-10-03 13:46:00,8,6021.9,67,3,1,1,Inactive customers
12638.0,2011-11-06 13:11:00,1,671.69,33,2,4,3,Regular customers
12639.0,2011-04-15 12:48:00,1,486.1,239,5,4,4,High-value customers
12640.0,2011-11-16 11:52:00,3,1174.58,24,2,2,2,At-risk customers
12641.0,2011-08-16 13:26:00,1,185.9,115,4,4,5,High-value customers
12642.0,2011-11-14 15:03:00,3,1013.26,25,2,2,2,At-risk customers
12643.0,2011-08-03 12:56:00,6,3344.64,128,4,1,1,New customers
12644.0,2011-08-02 10:33:00,1,477.91,130,4,4,4,High-value customers
12645.0,2011-11-06 12:38:00,4,1775.18,34,3,2,2,Inactive customers
12646.0,2011-12-05 10:14:00,2,1346.97,5,1,3,2,At-risk customers
12647.0,2011-11-17 12:56:00,12,3722.82,22,2,1,1,Inactive customers
12648.0,2011-07-08 11:55:00,1,318.05,155,4,4,4,High-value customers
12649.0,2011-08-24 14:41:00,3,623.51,107,4,2,3,New customers
12650.0,2011-12-06 16:34:00,1,314.44,3,1,4,4,Regular customers
12651.0,2011-01-09 12:46:00,1,114.0,335,5,4,5,High-value customers
12652.0,2011-01-12 15:00:00,1,919.98,331,5,4,3,Loyal customers
12653.0,2011-07-14 10:41:00,2,2209.85,149,4,3,1,Inactive customers
12654.0,2011-11-29 10:10:00,5,601.98,11,1,2,3,At-risk customers
12656.0,2011-11-22 13:42:00,5,4051.17,17,2,2,1,At-risk customers
12657.0,2011-11-28 15:47:00,4,1643.18,11,1,2,2,At-risk customers
12658.0,2011-11-21 10:22:00,1,686.05,19,2,4,3,Regular customers
12659.0,2011-11-10 11:53:00,1,91.68,30,2,4,5,Regular customers
12660.0,2011-11-28 13:26:00,1,245.1,11,1,4,5,Regular customers
12662.0,2011-12-09 11:59:00,11,3849.78,1,1,1,1,Inactive customers
12664.0,2011-12-01 17:07:00,9,4881.88,8,1,1,1,Inactive customers
12665.0,2011-01-19 08:34:00,1,63.0,325,5,4,5,High-value customers
12667.0,2011-10-12 17:00:00,1,620.13,58,3,4,3,Regular customers
12668.0,2011-11-28 10:56:00,4,3807.15,12,1,2,1,At-risk customers
12669.0,2011-07-12 09:54:00,3,2744.0299999999997,151,4,2,1,New customers
12670.0,2011-11-29 15:23:00,5,2996.05,10,1,2,1,At-risk customers
12672.0,2011-01-14 09:20:00,1,225.89999999999998,330,5,4,5,High-value customers
12673.0,2011-12-04 13:55:00,2,610.52,5,1,3,3,Regular customers
12674.0,2011-11-01 12:12:00,4,1970.6,39,3,2,2,Inactive customers
12676.0,2011-11-15 12:25:00,6,1331.39,25,2,1,2,Inactive customers
12678.0,2011-10-28 13:04:00,12,17628.46,42,3,1,1,Inactive customers
12679.0,2011-10-12 12:30:00,4,1113.02,59,3,2,2,Inactive customers
12680.0,2011-12-09 12:50:00,4,862.81,1,1,2,3,At-risk customers
12681.0,2011-11-25 11:33:00,22,13787.54,15,2,1,1,Inactive customers
12682.0,2011-12-06 10:00:00,31,12288.22,4,1,1,1,Inactive customers
12683.0,2011-12-05 16:31:00,15,8476.57,4,1,1,1,Inactive customers
12684.0,2011-12-02 09:53:00,7,2283.63,8,1,1,1,Inactive customers
12685.0,2011-11-11 13:46:00,6,2863.08,28,2,1,1,Inactive customers
12686.0,2010-12-03 09:51:00,1,89.14,372,5,4,5,High-value customers
12688.0,2011-08-18 08:49:00,1,4873.8099999999995,114,4,4,1,Loyal customers
12689.0,2011-11-14 08:31:00,2,1247.61,26,2,3,2,At-risk customers
12690.0,2011-05-18 09:09:00,1,389.01,206,5,4,4,High-value customers
12691.0,2011-11-11 16:49:00,6,1035.8,28,2,1,2,Inactive customers
12693.0,2011-08-04 17:51:00,4,855.91,127,4,2,3,New customers
12694.0,2011-09-30 13:06:00,2,869.67,70,3,3,3,Regular customers
12695.0,2011-12-02 13:22:00,4,582.1,7,1,2,3,At-risk customers
12697.0,2011-11-11 08:47:00,3,957.59,29,2,2,2,At-risk customers
12700.0,2011-12-02 10:47:00,4,4939.99,8,1,2,1,At-risk customers
12701.0,2011-09-21 10:47:00,2,797.71,80,4,3,3,Regular customers
12702.0,2011-11-20 10:36:00,1,219.0,20,2,4,5,Regular customers
12703.0,2011-09-29 17:52:00,1,283.55,71,3,4,4,Regular customers
12704.0,2011-12-02 13:15:00,8,2340.84,7,1,1,1,Inactive customers
12705.0,2011-11-24 13:17:00,9,6868.29,15,2,1,1,Inactive customers
12707.0,2011-02-21 08:38:00,1,603.42,292,5,4,3,Loyal customers
12708.0,2011-11-10 09:52:00,10,2712.91,30,2,1,1,Inactive customers
12709.0,2011-11-24 15:38:00,15,9736.52,15,2,1,1,Inactive customers
12710.0,2011-09-04 12:00:00,3,1149.02,97,4,2,2,New customers
12712.0,2011-11-11 08:19:00,13,4396.13,29,2,1,1,Inactive customers
12713.0,2011-12-09 12:16:00,1,848.55,1,1,4,3,Regular customers
12714.0,2011-11-30 15:43:00,5,4708.86,9,1,2,1,At-risk customers
12715.0,2011-08-25 15:22:00,1,353.86,106,4,4,4,High-value customers
12716.0,2011-12-06 08:55:00,2,1053.49,4,1,3,2,At-risk customers
12717.0,2011-07-11 14:47:00,2,1030.98,151,4,3,2,Inactive customers
12718.0,2011-09-29 16:38:00,1,238.25,71,3,4,5,Regular customers
12719.0,2011-12-04 13:45:00,2,644.95,5,1,3,3,Regular customers
12720.0,2011-12-07 08:03:00,25,5781.73,3,1,1,1,Inactive customers
12721.0,2011-11-08 12:13:00,6,2656.13,32,2,1,1,Inactive customers
12722.0,2011-09-15 14:50:00,4,997.63,85,4,2,2,New customers
12723.0,2011-12-06 10:19:00,5,725.07,4,1,2,3,At-risk customers
12724.0,2011-12-04 16:02:00,4,1031.41,5,1,2,2,At-risk customers
12725.0,2010-12-03 15:45:00,1,427.8,371,5,4,4,High-value customers
12726.0,2011-11-11 13:35:00,7,2609.1,28,2,1,1,Inactive customers
12727.0,2011-11-29 11:46:00,7,3980.7,11,1,1,1,Inactive customers
12728.0,2011-09-29 15:31:00,4,836.33,71,3,2,3,Inactive customers
12729.0,2011-08-18 11:40:00,1,453.01,114,4,4,4,High-value customers
12731.0,2011-11-16 11:59:00,12,18895.91,24,2,1,1,Inactive customers
12732.0,2011-06-13 11:33:00,1,236.26000000000002,180,5,4,5,High-value customers
12733.0,2011-04-19 16:19:00,1,383.95,234,5,4,4,High-value customers
12734.0,2010-12-22 12:47:00,1,110.39999999999999,353,5,4,5,High-value customers
12735.0,2011-01-28 13:37:00,2,779.5699999999999,315,5,3,3,Regular customers
12736.0,2011-01-11 07:57:00,1,234.0,333,5,4,5,High-value customers
12738.0,2010-12-02 18:27:00,1,155.35,372,5,4,5,High-value customers
12739.0,2011-09-22 13:00:00,2,1013.04,78,4,3,2,Inactive customers
12740.0,2011-10-07 10:44:00,1,427.6,64,3,4,4,Regular customers
12743.0,2011-07-28 16:21:00,2,546.43,134,4,3,3,Regular customers
12744.0,2011-10-19 11:18:00,7,21279.29,52,3,1,1,Inactive customers
12747.0,2011-12-07 14:34:00,11,4196.01,2,1,1,1,Inactive customers
12748.0,2011-12-09 12:20:00,209,33719.73,1,1,1,1,Inactive customers
12749.0,2011-12-06 09:56:00,5,4090.88,4,1,2,1,At-risk customers
12750.0,2011-08-03 09:13:00,1,275.88,129,4,4,4,High-value customers
12752.0,2011-09-19 13:32:00,1,4366.78,81,4,4,1,Loyal customers
12753.0,2011-11-17 10:52:00,6,21429.39,23,2,1,1,Inactive customers
12754.0,2011-04-18 09:00:00,3,3010.74,236,5,2,1,New customers
12755.0,2011-03-04 12:42:00,2,3811.95,281,5,3,1,Inactive customers
12756.0,2011-09-14 09:31:00,1,112.07999999999998,87,4,4,5,High-value customers
12757.0,2011-11-24 12:30:00,13,7857.1,16,2,1,1,Inactive customers
12758.0,2011-08-15 10:22:00,2,2791.59,117,4,3,1,Inactive customers
12759.0,2011-10-18 14:49:00,3,1531.44,52,3,2,2,Inactive customers
12762.0,2011-12-02 10:23:00,2,1898.52,8,1,3,2,At-risk customers
12763.0,2011-07-24 14:12:00,2,494.08,138,4,3,3,Regular customers
12764.0,2011-01-27 10:19:00,1,1693.88,317,5,4,2,Loyal customers
12766.0,2011-12-06 08:46:00,7,6989.63,4,1,1,1,Inactive customers
12769.0,2011-04-15 10:25:00,1,1143.6,239,5,4,2,Loyal customers
12770.0,2011-05-13 09:33:00,1,1351.45,211,5,4,2,Loyal customers
12772.0,2011-10-11 09:19:00,1,892.47,60,3,4,3,Regular customers
12775.0,2011-11-22 16:33:00,5,1386.04,17,2,2,2,At-risk customers
12778.0,2011-11-20 11:30:00,6,822.23,20,2,1,3,Inactive customers
12779.0,2011-11-02 11:43:00,8,3981.36,38,3,1,1,Inactive customers
12781.0,2011-10-07 10:37:00,2,826.74,64,3,3,3,Regular customers
12782.0,2011-12-05 09:16:00,5,2330.92,5,1,2,1,At-risk customers
12783.0,2011-12-07 15:56:00,6,2225.91,2,1,1,1,Inactive customers
12784.0,2011-11-30 15:38:00,2,574.42,9,1,3,3,Regular customers
12785.0,2010-12-10 13:48:00,1,311.95,364,5,4,4,High-value customers
12787.0,2011-11-30 08:44:00,3,463.66,10,1,2,4,At-risk customers
