InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537432,35833G,Damages,-43,2010-12-06 16:10:00,0.0,Unknown,United Kingdom
537436,84270,Unknown,7,2010-12-06 17:00:00,0.0,Unknown,United Kingdom
537437,90167,Unknown,10,2010-12-06 17:00:00,0.0,Unknown,United Kingdom
537438,22959,Unknown,13,2010-12-06 17:00:00,0.0,Unknown,United Kingdom
537439,37474,Unknown,1,2010-12-06 17:01:00,0.0,Unknown,United Kingdom
537449,21054,Unknown,-30,2010-12-07 09:26:00,0.0,Unknown,United Kingdom
537450,20684,Unknown,-19,2010-12-07 09:26:00,0.0,Unknown,United Kingdom
537451,84881,Unknown,-11,2010-12-07 09:27:00,0.0,Unknown,United Kingdom
537452,20941,Unknown,-24,2010-12-07 09:28:00,0.0,Unknown,United Kingdom
537453,21248,Unknown,-18,2010-12-07 09:28:00,0.0,Unknown,United Kingdom
537454,21349,Unknown,-44,2010-12-07 09:30:00,0.0,Unknown,United Kingdom
537455,22155,Unknown,-70,2010-12-07 09:31:00,0.0,Unknown,United Kingdom
537466,21488,Unknown,-50,2010-12-07 10:33:00,0.0,Unknown,United Kingdom
537534,85064,Cream Sweetheart Letter Rack,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,84832,Zinc Willie Winkie Candle Stick,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,84692,Box Of 24 Cocktail Parasols,2,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,48184,Doormat English Rose,3,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,48111,Doormat 3 Smiley Cats,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22697,Green Regency Teacup And Saucer,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22682,French Blue Metal Door Sign 7,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22680,French Blue Metal Door Sign 5,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22681,French Blue Metal Door Sign 6,2,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22679,French Blue Metal Door Sign 4,5,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22686,French Blue Metal Door Sign No,2,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22683,French Blue Metal Door Sign 8,3,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22676,French Blue Metal Door Sign 1,3,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22625,Red Kitchen Scales,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22624,Ivory Kitchen Scales,3,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22619,Set Of 6 Soldier Skittles,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22520,Childs Garden Trowel Blue,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22524,Childrens Garden Gloves Blue,3,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22502,Picnic Basket Wicker Small,29,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22501,Picnic Basket Wicker Large,2,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22476,Empire Union Jack Tv Dinner Tray,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22473,Tv Dinner Tray Vintage Paisley,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22474,Spaceboy Tv Dinner Tray,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22472,Tv Dinner Tray Dolly Girl,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22514,Childs Garden Spade Blue,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22516,Childs Garden Rake Blue,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22432,Watering Can Pink Bunny,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22428,Enamel Fire Bucket Cream,3,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22427,Enamel Flower Jug Cream,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22376,Airline Bag Vintage Jet Set White,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22375,Airline Bag Vintage Jet Set Brown,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22372,Airline Bag Vintage World Champion,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22371,Airline Bag Vintage Tokyo 78,5,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22620,4 Traditional Spinning Tops,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22624,Ivory Kitchen Scales,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22109,Full English Breakfast Plate,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22367,Childrens Apron Spaceboy Design,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22366,Doormat Airmail,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22364,Glass Jar Digestive Biscuits,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22362,Glass Jar Peacock Bath Salts,3,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22360,Glass Jar English Confectionery,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22361,Glass Jar Daisy Fresh Cotton Wool,2,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22359,Glass Jar Kings Choice,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22353,Lunch Box With Cutlery Fairy Cakes,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22350,Illustrated Cat Bowl,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22327,Round Snack Boxes Set Of 4 Skulls,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,21116,Owl Doorstop,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22202,Milk Pan Pink Polkadot,2,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,22550,Holiday Fun Ludo,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,21912,Vintage Snakes & Ladders,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,21891,Traditional Wooden Skipping Rope,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,21559,Strawberry Lunch Box With Cutlery,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,21531,Red Retrospot Sugar Jam Bowl,2,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,20726,Lunch Bag Woodland,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,20652,Blue Polkadot Luggage Tag,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537534,20615,Blue Polkadot Passport Cover,1,2010-12-07 11:48:00,0.0,Unknown,United Kingdom
537639,22734,Amazon,30,2010-12-07 15:29:00,0.0,Unknown,United Kingdom
537640,21232,Strawberry Ceramic Trinket Box,1,2010-12-07 15:31:00,0.0,Unknown,United Kingdom
537687,84840,Unknown,-9,2010-12-08 10:26:00,0.0,Unknown,United Kingdom
537870,21486,Unknown,-77,2010-12-08 17:08:00,0.0,Unknown,United Kingdom
537872,21595,Unknown,1,2010-12-08 18:07:00,0.0,Unknown,United Kingdom
537873,37461,Unknown,1,2010-12-08 18:07:00,0.0,Unknown,United Kingdom
537874,85170A,Unknown,1,2010-12-08 18:07:00,0.0,Unknown,United Kingdom
537875,20849,Unknown,1,2010-12-08 18:08:00,0.0,Unknown,United Kingdom
537876,84977,Unknown,2,2010-12-08 18:08:00,0.0,Unknown,United Kingdom
537877,21661,Unknown,1,2010-12-08 18:08:00,0.0,Unknown,United Kingdom
537878,72803B,Unknown,1,2010-12-08 18:09:00,0.0,Unknown,United Kingdom
537999,22034,Unknown,-223,2010-12-09 11:44:00,0.0,Unknown,United Kingdom
538001,35958,Unknown,10,2010-12-09 11:45:00,0.0,Unknown,United Kingdom
538004,22114,Unknown,144,2010-12-09 12:11:00,0.0,Unknown,United Kingdom
538036,21690,Unknown,34,2010-12-09 13:04:00,0.0,Unknown,United Kingdom
538038,21488,Unknown,8,2010-12-09 13:07:00,0.0,Unknown,United Kingdom
538039,22139,Unknown,7,2010-12-09 13:07:00,0.0,Unknown,United Kingdom
538041,22145,Unknown,30,2010-12-09 13:09:00,0.0,Unknown,United Kingdom
538042,21763,Unknown,-4,2010-12-09 13:10:00,0.0,Unknown,United Kingdom
538043,22833,Unknown,-1,2010-12-09 13:10:00,0.0,Unknown,United Kingdom
538045,84688,Unknown,27,2010-12-09 13:11:00,0.0,Unknown,United Kingdom
538046,85008,Unknown,-15,2010-12-09 13:12:00,0.0,Unknown,United Kingdom
538047,21429,Unknown,-70,2010-12-09 13:13:00,0.0,Unknown,United Kingdom
538054,85167B,Unknown,-24,2010-12-09 13:34:00,0.0,Unknown,United Kingdom
538055,22454,Unknown,-20,2010-12-09 13:34:00,0.0,Unknown,United Kingdom
538058,20966,Unknown,-150,2010-12-09 13:38:00,0.0,Unknown,United Kingdom
538061,21801,Unknown,-38,2010-12-09 13:39:00,0.0,Unknown,United Kingdom
538071,22585,Pack Of 6 Birdy Gift Tags,1,2010-12-09 14:09:00,0.0,Unknown,United Kingdom
538072,22423,Faulty,-13,2010-12-09 14:10:00,0.0,Unknown,United Kingdom
538074,21743,Unknown,-80,2010-12-09 14:11:00,0.0,Unknown,United Kingdom
538090,20956,?,-723,2010-12-09 14:48:00,0.0,Unknown,United Kingdom
538092,37467,Unknown,-177,2010-12-09 14:49:00,0.0,Unknown,United Kingdom
538128,21357,Unknown,46,2010-12-09 15:54:00,0.0,Unknown,United Kingdom
538129,84497,Unknown,79,2010-12-09 15:55:00,0.0,Unknown,United Kingdom
538130,90042C,Unknown,10,2010-12-09 15:55:00,0.0,Unknown,United Kingdom
538131,17091A,Unknown,84,2010-12-09 15:56:00,0.0,Unknown,United Kingdom
538132,84773,Unknown,3,2010-12-09 15:56:00,0.0,Unknown,United Kingdom
538133,85018C,Unknown,3,2010-12-09 15:56:00,0.0,Unknown,United Kingdom
538134,20878,Unknown,2,2010-12-09 15:56:00,0.0,Unknown,United Kingdom
538135,21186,Unknown,2,2010-12-09 15:56:00,0.0,Unknown,United Kingdom
538136,37509,Unknown,2,2010-12-09 15:57:00,0.0,Unknown,United Kingdom
538137,62095B,Unknown,2,2010-12-09 15:57:00,0.0,Unknown,United Kingdom
538138,72814,Unknown,2,2010-12-09 15:57:00,0.0,Unknown,United Kingdom
538139,84802A,Unknown,2,2010-12-09 15:57:00,0.0,Unknown,United Kingdom
538140,90002D,Unknown,9,2010-12-09 15:57:00,0.0,Unknown,United Kingdom
538141,22218,Unknown,2,2010-12-09 15:58:00,0.0,Unknown,United Kingdom
538142,84247C,Unknown,1,2010-12-09 15:58:00,0.0,Unknown,United Kingdom
538143,84534B,Unknown,1,2010-12-09 15:58:00,0.0,Unknown,United Kingdom
538144,90042B,Unknown,1,2010-12-09 15:58:00,0.0,Unknown,United Kingdom
538158,20892,Unknown,-32,2010-12-09 17:17:00,0.0,Unknown,United Kingdom
538159,21324,Unknown,-18,2010-12-09 17:17:00,0.0,Unknown,United Kingdom
538160,20956,Unknown,288,2010-12-09 17:18:00,0.0,Unknown,United Kingdom
538161,46000S,Dotcom Sales,-100,2010-12-09 17:25:00,0.0,Unknown,United Kingdom
538162,46000M,Dotcom Sales,-100,2010-12-09 17:25:00,0.0,Unknown,United Kingdom
538173,22353,Unknown,-28,2010-12-10 09:35:00,0.0,Unknown,United Kingdom
538241,21431,Unknown,-21,2010-12-10 12:00:00,0.0,Unknown,United Kingdom
538247,79067,Unknown,-145,2010-12-10 12:09:00,0.0,Unknown,United Kingdom
538249,85084,Unknown,25,2010-12-10 12:19:00,0.0,Unknown,United Kingdom
538348,22734,Amazon,30,2010-12-10 14:59:00,0.0,Unknown,United Kingdom
538359,35958,Unknown,2,2010-12-10 16:29:00,0.0,Unknown,United Kingdom
538360,35004P,Unknown,1,2010-12-10 16:29:00,0.0,Unknown,United Kingdom
538837,85135B,Unknown,-40,2010-12-14 13:10:00,0.0,Unknown,United Kingdom
538861,22444,Unknown,460,2010-12-14 14:04:00,0.0,Unknown,United Kingdom
538873,22734,Amazon Sales,20,2010-12-14 15:13:00,0.0,Unknown,United Kingdom
538877,21479,White Skull Hot Water Bottle,1,2010-12-14 15:29:00,0.0,Unknown,United Kingdom
538877,22112,Chocolate Hot Water Bottle,1,2010-12-14 15:29:00,0.0,Unknown,United Kingdom
538877,22356,Charlotte Bag Pink Polkadot,1,2010-12-14 15:29:00,0.0,Unknown,United Kingdom
538906,21895,Unknown,-5,2010-12-15 10:31:00,0.0,Unknown,United Kingdom
539263,22580,Advent Calendar Gingham Sack,4,2010-12-16 14:36:00,0.0,16560.0,United Kingdom
539413,22959,Unknown,12,2010-12-17 13:44:00,0.0,Unknown,United Kingdom
539494,21479,?,752,2010-12-20 10:36:00,0.0,Unknown,United Kingdom
539495,22591,Unknown,36,2010-12-20 10:37:00,0.0,Unknown,United Kingdom
539582,71477,Unknown,8,2010-12-20 12:53:00,0.0,Unknown,United Kingdom
539583,35400,Unknown,1,2010-12-20 12:53:00,0.0,Unknown,United Kingdom
539584,21491,Unknown,1,2010-12-20 12:54:00,0.0,Unknown,United Kingdom
539585,21009,Unknown,1,2010-12-20 12:54:00,0.0,Unknown,United Kingdom
539611,85135B,Found,53,2010-12-20 14:33:00,0.0,Unknown,United Kingdom
539638,22139,Unknown,1,2010-12-20 15:23:00,0.0,Unknown,United Kingdom
539722,22423,Regency Cakestand 3 Tier,10,2010-12-21 13:45:00,0.0,14911.0,EIRE
539749,22734,Unknown,30,2010-12-21 15:33:00,0.0,Unknown,United Kingdom
539750,22114,Hot Water Bottle Tea And Sympathy,1,2010-12-21 15:40:00,0.0,Unknown,United Kingdom
539750,22652,Travel Sewing Kit,1,2010-12-21 15:40:00,0.0,Unknown,United Kingdom
539750,21080,Set/20 Red Retrospot Paper Napkins,2,2010-12-21 15:40:00,0.0,Unknown,United Kingdom
539750,21481,Fawn Blue Hot Water Bottle,1,2010-12-21 15:40:00,0.0,Unknown,United Kingdom
539856,22444,Grow Your Own Plant In A Can,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,20682,Red Retrospot Childrens Umbrella,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,20724,Red Retrospot Charlotte Bag,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,18098C,Porcelain Butterfly Oil Burner,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,85123A,White Hanging Heart T-light Holder,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,84968E,Set Of 16 Vintage Black Cutlery,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,84872A,Teatime Funky Flower Backpack For 2,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22518,Childs Garden Brush Blue,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,84692,Box Of 24 Cocktail Parasols,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,79321,Chilli Lights,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,48194,Doormat Hearts,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,37333,"Retro ""tea For One""",1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22843,Biscuit Tin Vintage Green,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22842,Biscuit Tin Vintage Red,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22690,Doormat Home Sweet Home Blue,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,85099B,Jumbo Bag Red Retrospot,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22685,French Blue Metal Door Sign 0,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22684,French Blue Metal Door Sign 9,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22686,French Blue Metal Door Sign No,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22682,French Blue Metal Door Sign 7,3,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22683,French Blue Metal Door Sign 8,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22681,French Blue Metal Door Sign 6,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22679,French Blue Metal Door Sign 4,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22678,French Blue Metal Door Sign 3,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22680,French Blue Metal Door Sign 5,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22677,French Blue Metal Door Sign 2,6,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22676,French Blue Metal Door Sign 1,5,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22666,Recipe Box Pantry Yellow Design,7,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22665,Recipe Box Blue Sketchbook Design,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22650,Ceramic Pirate Chest Money Bank,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22647,Ceramic Love Heart Money Bank,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22626,Black Kitchen Scales,3,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22625,Red Kitchen Scales,7,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22624,Ivory Kitchen Scales,3,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22619,Set Of 6 Soldier Skittles,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22526,Wheelbarrow For Children,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22525,Childrens Garden Gloves Pink,3,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22524,Childrens Garden Gloves Blue,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22514,Childs Garden Spade Blue,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22512,Doorstop Racing Car Design,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22475,Skull Design Tv Dinner Tray,5,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22431,Watering Can Blue Elephant,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22428,Enamel Fire Bucket Cream,4,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22426,Enamel Wash Bowl Cream,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22374,Airline Bag Vintage Jet Set Red,3,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22375,Airline Bag Vintage Jet Set Brown,3,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22372,Airline Bag Vintage World Champion,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22371,Airline Bag Vintage Tokyo 78,3,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22367,Childrens Apron Spaceboy Design,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22361,Glass Jar Daisy Fresh Cotton Wool,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22360,Glass Jar English Confectionery,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22357,Kings Choice Biscuit Tin,7,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22350,Illustrated Cat Bowl,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22327,Round Snack Boxes Set Of 4 Skulls,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22072,Red Retrospot Tea Cup And Saucer,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,21912,Vintage Snakes & Ladders,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,21791,Vintage Heads And Tails Card Game,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,22550,Holiday Fun Ludo,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,21888,Bingo Set,2,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,21539,Red Retrospot Butter Dish,3,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,21258,Victorian Sewing Box Large,3,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,21116,Owl Doorstop,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539856,20719,Woodland Charlotte Bag,1,2010-12-22 14:41:00,0.0,Unknown,United Kingdom
539980,35001W,Unknown,-36,2010-12-23 14:34:00,0.0,Unknown,United Kingdom
539994,22830,Unknown,-1,2011-01-04 10:09:00,0.0,Unknown,United Kingdom
539995,85064,Unknown,-12,2011-01-04 10:12:00,0.0,Unknown,United Kingdom
539996,21784,Unknown,-10,2011-01-04 10:12:00,0.0,Unknown,United Kingdom
539997,84689,Unknown,5,2011-01-04 10:15:00,0.0,Unknown,United Kingdom
539998,84675,Unknown,2,2011-01-04 10:16:00,0.0,Unknown,United Kingdom
539999,20892,Unknown,-1,2011-01-04 10:16:00,0.0,Unknown,United Kingdom
540000,84499,Unknown,-9,2011-01-04 10:17:00,0.0,Unknown,United Kingdom
540008,85230F,Unknown,-48,2011-01-04 11:10:00,0.0,Unknown,United Kingdom
540009,22158,Unknown,-120,2011-01-04 11:10:00,0.0,Unknown,United Kingdom
540010,22501,Reverse 21/5/10 Adjustment,-100,2011-01-04 11:13:00,0.0,Unknown,United Kingdom
540011,22501,Unknown,30,2011-01-04 11:13:00,0.0,Unknown,United Kingdom
540012,22502,Reverse 21/5/10 Adjustment,-100,2011-01-04 11:14:00,0.0,Unknown,United Kingdom
540018,90112,Unknown,2,2011-01-04 12:07:00,0.0,Unknown,United Kingdom
540100,22837,?,-106,2011-01-04 16:53:00,0.0,Unknown,United Kingdom
540119,22865,Unknown,-60,2011-01-05 10:07:00,0.0,Unknown,United Kingdom
540241,35957,Unknown,-939,2011-01-05 15:17:00,0.0,Unknown,United Kingdom
540252,22198,Unknown,-100,2011-01-05 16:25:00,0.0,Unknown,United Kingdom
540256,35957,Unknown,35,2011-01-05 17:21:00,0.0,Unknown,United Kingdom
540272,90096,Unknown,-54,2011-01-06 11:57:00,0.0,Unknown,United Kingdom
540355,20724,Red Retrospot Charlotte Bag,1,2011-01-06 15:11:00,0.0,Unknown,United Kingdom
540356,20724,Red Retrospot Charlotte Bag,1,2011-01-06 15:12:00,0.0,Unknown,United Kingdom
540369,47591D,Unknown,-201,2011-01-06 16:20:00,0.0,Unknown,United Kingdom
540372,22090,Paper Bunting Retrospot,24,2011-01-06 16:41:00,0.0,13081.0,United Kingdom
540372,22553,Plasters In Tin Skulls,24,2011-01-06 16:41:00,0.0,13081.0,United Kingdom
